date,pair,target,prediction,error,rolling_std,signal
2015-05-25,Kenya Airways Plc_Car and General (K) Ltd,2.271354730368655,2.2435836399747813,0.02777109039387371,,0
2015-05-26,Kenya Airways Plc_Car and General (K) Ltd,2.271354730368655,2.2516682824486596,0.01968644791999541,,0
2015-05-27,Kenya Airways Plc_Car and General (K) Ltd,2.278372303027301,2.2492285841015716,0.029143718925729534,,0
2015-05-28,Kenya Airways Plc_Car and General (K) Ltd,2.2559181244687525,2.2513564620239115,0.004561662444841019,,0
2015-05-29,Kenya Airways Plc_Car and General (K) Ltd,2.2559181244687525,2.252267664444807,0.0036504600239455343,,0
2015-06-02,Kenya Airways Plc_Car and General (K) Ltd,2.2488006566998884,2.2536531756396885,-0.004852518939800099,,0
2015-06-03,Kenya Airways Plc_Car and General (K) Ltd,2.2488006566998884,2.2476698985519388,0.0011307581479496065,,0
2015-06-04,Kenya Airways Plc_Car and General (K) Ltd,2.2488006566998884,2.246139201212781,0.0026614554871073892,,0
2015-06-05,Kenya Airways Plc_Car and General (K) Ltd,2.234411919247789,2.2472561808976397,-0.01284426164985053,,0
2015-06-08,Kenya Airways Plc_Car and General (K) Ltd,2.1746926845461667,2.244064059860501,-0.06937137531433413,,0
2015-06-09,Kenya Airways Plc_Car and General (K) Ltd,2.143440141042062,2.244940163077815,-0.10150002203575292,,0
2015-06-10,Kenya Airways Plc_Car and General (K) Ltd,2.119342589463002,2.2495851524305395,-0.13024256296753745,,0
2015-06-11,Kenya Airways Plc_Car and General (K) Ltd,2.0946499768726303,2.254544737948684,-0.15989476107605372,,0
2015-06-12,Kenya Airways Plc_Car and General (K) Ltd,2.149862645643403,2.260075488035103,-0.11021284239170015,,0
2015-06-15,Kenya Airways Plc_Car and General (K) Ltd,2.2183304449208636,2.266360004622497,-0.048029559701633584,,0
2015-05-25,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0116405186694477,1.9670379309892445,0.0446025876802032,,0
2015-05-26,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0116405186694477,1.954330066242457,0.05731045242699073,,0
2015-05-27,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0084094980880014,1.944166484302783,0.06424301378521835,,0
2015-05-28,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9442437054652117,0.07727963848057273,,0
2015-05-29,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9475036057013986,0.0740197382443859,,0
2015-06-02,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9475036057013986,0.0740197382443859,,0
2015-06-03,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0182606983109683,1.948215122337766,0.07004557597320238,,0
2015-06-04,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0182606983109683,1.9463505165625152,0.0719101817484531,,0
2015-06-05,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9479615230065535,0.07356182093923103,,0
2015-06-08,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0182606983109683,1.9479615230065535,0.07029917530441487,,0
2015-06-09,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9628286722367856,0.05869467170899889,,0
2015-06-10,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9693495935615144,0.05217375038427008,,0
2015-06-11,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0215233439457845,1.9693495935615144,0.05217375038427008,,0
2015-06-12,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.021734212396292,1.9873335173882802,0.034400695008011795,,0
2015-06-15,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.024996858031108,2.0006456429241393,0.024351215106968915,,0
2015-05-25,Bamburi Cement Ltd_KCB Group Plc,1.3244530094986948,1.3319187561047316,-0.007465746606036827,,0
2015-05-26,Bamburi Cement Ltd_KCB Group Plc,1.3530154260977958,1.3313803428927935,0.021635083205002292,,0
2015-05-27,Bamburi Cement Ltd_KCB Group Plc,1.3566809714506785,1.330714203428287,0.025966768022391395,,0
2015-05-28,Bamburi Cement Ltd_KCB Group Plc,1.3782686458735545,1.3325386864495732,0.04572995942398128,,0
2015-05-29,Bamburi Cement Ltd_KCB Group Plc,1.3625598847030473,1.353772372964193,0.008787511738854281,,0
2015-06-02,Bamburi Cement Ltd_KCB Group Plc,1.3471219777795493,1.3462958951759398,0.0008260826036095015,,0
2015-06-03,Bamburi Cement Ltd_KCB Group Plc,1.3319457429322101,1.3392820271004007,-0.007336284168190543,,0
2015-06-04,Bamburi Cement Ltd_KCB Group Plc,1.3395017069310726,1.331693647427205,0.007808059503867648,,0
2015-06-05,Bamburi Cement Ltd_KCB Group Plc,1.3402960127091497,1.3326088664253724,0.007687146283777313,,0
2015-06-08,Bamburi Cement Ltd_KCB Group Plc,1.3471219777795493,1.3328627554669357,0.014259222312613673,,0
2015-06-09,Bamburi Cement Ltd_KCB Group Plc,1.3606356969462725,1.4010450308943974,-0.04040933394812485,,0
2015-06-10,Bamburi Cement Ltd_KCB Group Plc,1.3750103667955753,1.3717305692358985,0.003279797559676778,,0
2015-06-11,Bamburi Cement Ltd_KCB Group Plc,1.3750103667955753,1.3846798256081547,-0.009669458812579412,,0
2015-06-12,Bamburi Cement Ltd_KCB Group Plc,1.3827625920205668,1.4162307850634677,-0.03346819304290083,,0
2015-06-15,Bamburi Cement Ltd_KCB Group Plc,1.3905825231263598,1.4196890132735844,-0.029106490147224662,,0
2015-06-16,Kenya Airways Plc_Car and General (K) Ltd,2.247317981794116,2.175941408891843,0.07137657290227306,,0
2015-06-17,Kenya Airways Plc_Car and General (K) Ltd,2.2458077633700086,2.178614403888308,0.06719335948170047,,0
2015-06-18,Kenya Airways Plc_Car and General (K) Ltd,2.246387777440718,2.18172023919449,0.06466753824622806,,0
2015-06-19,Kenya Airways Plc_Car and General (K) Ltd,2.194715766896397,2.184296049610066,0.010419717286330954,,0
2015-06-22,Kenya Airways Plc_Car and General (K) Ltd,2.2241462665888294,2.1836631643025597,0.04048310228626972,0.0671009215280195,0
2015-06-23,Kenya Airways Plc_Car and General (K) Ltd,2.2188276804402003,2.181900085905277,0.03692759453492345,0.06743642137453584,0
2015-06-24,Kenya Airways Plc_Car and General (K) Ltd,2.2097536442609376,2.1762401209701094,0.03351352329082813,0.06787214094906732,0
2015-06-25,Kenya Airways Plc_Car and General (K) Ltd,2.231894770138151,2.178034929223557,0.05385984091459406,0.06890773824347365,0
2015-06-26,Kenya Airways Plc_Car and General (K) Ltd,2.2886475867306006,2.178034929223557,0.11061265750704363,0.07415610972715102,0
2015-06-29,Kenya Airways Plc_Car and General (K) Ltd,2.3023464310887625,2.1937585281974723,0.10858790289129017,0.07853417536872014,0
2015-06-30,Kenya Airways Plc_Car and General (K) Ltd,2.295520466018363,2.1989145749529118,0.09660589106545103,0.08154414248783658,0
2015-07-01,Kenya Airways Plc_Car and General (K) Ltd,2.295520466018363,2.2030451619480305,0.09247530407033233,0.08393930794517636,0
2015-07-02,Kenya Airways Plc_Car and General (K) Ltd,2.3008827006567825,2.2361308241610387,0.06475187649574377,0.08487969430650116,0
2015-07-03,Kenya Airways Plc_Car and General (K) Ltd,2.287089378524447,2.240119414630788,0.04696996389365893,0.08505007859563604,0
2015-07-06,Kenya Airways Plc_Car and General (K) Ltd,2.2801207092083535,2.2270368220377486,0.05308388717060497,0.08312124127423139,0
2015-06-16,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.034721407923103,1.9819149115139982,0.05280649640910484,,0
2015-06-17,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.038259449167093,1.978795629733077,0.0594638194340158,,0
2015-06-18,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.023327375024852,1.979121925366097,0.04420544965875517,,0
2015-06-19,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0201067603248095,1.9819586750613343,0.03814808526347524,,0
2015-06-22,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.038259449167093,1.9912326885433091,0.04702676062378375,0.015059253512794512,-1
2015-06-23,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.030325496391244,1.9884231365516964,0.0419023598395476,0.015188150607903838,-1
2015-06-24,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0201067603248095,1.9865946200125801,0.03351214031222938,0.01606157655151836,-1
2015-06-25,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.0201067603248095,1.9895463639327602,0.030560396392049327,0.01686572846984007,0
2015-06-26,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.016875739743363,1.9921385801972198,0.024737159546143417,0.017143140902813034,0
2015-06-29,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.023327375024852,1.9921112279741378,0.031216147050714405,0.016839867908364257,0
2015-06-30,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.010382210432815,1.9884101065579998,0.021972103874815296,0.01683390620825616,0
2015-07-01,ABSA Bank Kenya Plc_Car and General (K) Ltd,2.010382210432815,1.9845745217199058,0.025807688712909282,0.016502220851059343,0
2015-07-02,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.9912839458087204,1.987944824740695,0.0033391210680253636,0.01758373019949437,0
2015-07-03,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.9945572711536896,1.9981769808142797,-0.003619709660590109,0.01851042903689451,0
2015-07-06,ABSA Bank Kenya Plc_Car and General (K) Ltd,1.9879998706075304,1.9996122395170701,-0.01161236890953976,0.019808175313318924,0
2015-06-16,Bamburi Cement Ltd_KCB Group Plc,1.398471353191074,1.4070560530246332,-0.00858469983355925,,0
2015-06-17,Bamburi Cement Ltd_KCB Group Plc,1.398471353191074,1.3775658341871349,0.02090551900393911,,0
2015-06-18,Bamburi Cement Ltd_KCB Group Plc,1.4051158959097427,1.3764313457615003,0.02868455014824245,,0
2015-06-19,Bamburi Cement Ltd_KCB Group Plc,1.432747615426448,1.377309433173356,0.05543818225309205,,0
2015-06-22,Bamburi Cement Ltd_KCB Group Plc,1.4262329344052538,1.3777482124952245,0.04848472191002928,0.02618679940731658,0
2015-06-23,Bamburi Cement Ltd_KCB Group Plc,1.4262329344052538,1.3796871901412147,0.046545744264039124,0.027304625021776278,0
2015-06-24,Bamburi Cement Ltd_KCB Group Plc,1.4211051854510646,1.3795776808930031,0.04152750455806142,0.028087535992118443,0
2015-06-25,Bamburi Cement Ltd_KCB Group Plc,1.4342632700285756,1.3796690429643932,0.05459422706418238,0.02956144408953638,0
2015-06-26,Bamburi Cement Ltd_KCB Group Plc,1.4342632700285756,1.3799193780657162,0.05434389196285938,0.030123882183356314,0
2015-06-29,Bamburi Cement Ltd_KCB Group Plc,1.4488809603811963,1.380479534103685,0.06840142627751122,0.032515575714864686,-1
2015-06-30,Bamburi Cement Ltd_KCB Group Plc,1.4717828609817105,1.3820705714317958,0.08971228954991473,0.03617120920715414,-1
2015-07-01,Bamburi Cement Ltd_KCB Group Plc,1.4717828609817105,1.3845497856837923,0.08723307529791824,0.03843021813949884,-1
2015-07-02,Bamburi Cement Ltd_KCB Group Plc,1.4617843652171039,1.3849147176068441,0.07686964761025972,0.03984458178755436,0
2015-07-03,Bamburi Cement Ltd_KCB Group Plc,1.469961375657728,1.3852437082692535,0.08471766738847464,0.041385833692689285,-1
2015-07-06,Bamburi Cement Ltd_KCB Group Plc,1.4456510202623556,1.383783362498692,0.06186765776366365,0.041638459686255354,0
2015-07-07,Kenya Airways Plc_Car and General (K) Ltd,2.2801207092083535,2.271768508063725,0.008352201144628424,0.07814480490213511,0
2015-07-08,Kenya Airways Plc_Car and General (K) Ltd,2.273103136549707,2.271768508063725,0.0013346284859818702,0.06938392012455387,0
2015-07-09,Kenya Airways Plc_Car and General (K) Ltd,2.255383259625572,2.2716364118657504,-0.016253152240178537,0.05423988736068347,0
